Tanggal,Inflow,Outflow,Curah Hujan
1/1/2023,20.6292819976807,4.02420854568481,67.1631698608398
1/2/2023,15.8350076675415,3.11806750297546,0.0869522988796234
1/3/2023,15.290657043457,2.57370710372925,0.0684631615877152
1/4/2023,17.686803817749,2.94823217391968,0.799687147140503
1/5/2023,24.5539894104004,7.72420024871826,1.25290358066559
1/6/2023,25.8441982269287,8.67485523223877,0.707810699939728
1/7/2023,39.425724029541,5.2394962310791,62.7430267333984
1/8/2023,55.8618354797363,7.93001747131348,0.31741589307785
1/9/2023,49.3439254760742,4.62776279449463,0.442564010620117
1/10/2023,75.1200485229492,9.11563777923584,3.98791885375977
1/11/2023,83.4454650878906,5.16226673126221,3.3226420879364
1/12/2023,111.470642089844,4.02814340591431,19.9551429748535
1/13/2023,118.223701477051,3.10023403167725,2.12661743164063
1/14/2023,37.6958618164063,2.57881379127502,14.8998317718506
1/15/2023,24.3448638916016,2.23115229606628,3.17395758628845
1/16/2023,29.6623859405518,2.00472569465637,9.3101978302002
1/17/2023,17.3578033447266,4.53425216674805,1.18942642211914
1/18/2023,59.0673637390137,11.4510669708252,61.7612342834473
1/19/2023,69.5025482177734,6.60740518569946,5.14605903625488
1/20/2023,94.6116485595703,5.15444898605347,50.9646682739258
1/21/2023,91.6664733886719,3.89113807678223,0.729492723941803
1/22/2023,107.664680480957,3.14112782478333,5.47640562057495
1/23/2023,96.26953125,2.62660360336304,0.817204892635346
1/24/2023,53.2688674926758,2.27919483184815,0.785977125167847
1/25/2023,46.228630065918,2.08090567588806,1.65593731403351
1/26/2023,67.4096755981445,1.93227517604828,2.3268449306488
1/27/2023,84.1524887084961,1.84670233726502,4.69152021408081
1/28/2023,123.77067565918,1.79558157920837,1.6947535276413
1/29/2023,129.971282958984,5.2456226348877,1.11448776721954
1/30/2023,136.259521484375,3.29447817802429,2.44697189331055
1/31/2023,95.0656814575195,11.5575742721558,2.20620608329773
2/1/2023,64.7662734985352,6.5488224029541,1.70116877555847
2/2/2023,47.1911239624023,19.8904876708984,3.27899789810181
2/3/2023,29.3815975189209,18.8632831573486,2.36621403694153
2/4/2023,27.5407371520996,18.9063301086426,1.05874443054199
2/5/2023,24.7714004516602,21.5687198638916,2.28722882270813
2/6/2023,22.4708824157715,21.9231605529785,20.4004650115967
2/7/2023,18.7593498229981,11.5373430252075,30.7682514190674
2/8/2023,24.1876029968262,9.0086088180542,2.26514220237732
2/9/2023,19.0033168792725,10.7766361236572,18.077564239502
2/10/2023,45.6923980712891,13.734209060669,4.06302309036255
2/11/2023,24.0603141784668,7.85984611511231,51.855110168457
2/12/2023,23.1056785583496,11.4583988189697,8.05231189727783
2/13/2023,194.601287841797,6.60382747650147,39.8490943908691
2/14/2023,106.527290344238,5.23457431793213,7.4744553565979
2/15/2023,77.5326766967773,4.11011457443237,22.2282943725586
2/16/2023,43.0804786682129,3.3828558921814,-0.501663446426392
2/17/2023,19.5133438110352,10.3454675674439,9.68773174285889
2/18/2023,36.1006927490234,9.65348815917969,31.1163425445557
2/19/2023,41.5502433776856,5.92041778564453,28.5490455627441
2/20/2023,27.1513080596924,11.1912069320679,7.91877365112305
2/21/2023,13.7853488922119,8.5872974395752,2.2606258392334
2/22/2023,29.1373729705811,5.40774393081665,5.60744380950928
2/23/2023,38.4342803955078,7.64072990417481,2.66262054443359
2/24/2023,52.1579399108887,17.3927993774414,3.00250458717346
2/25/2023,42.3581047058106,8.6341438293457,3.14741468429565
2/26/2023,46.1767539978027,17.6693630218506,1.88215494155884
2/27/2023,45.9248733520508,12.127833366394,2.46284604072571
2/28/2023,39.5656585693359,13.7082977294922,19.5682697296143
3/1/2023,30.622745513916,10.6631698608398,13.7471399307251
3/2/2023,29.9227294921875,9.90277194976807,2.82763671875
3/3/2023,181.493438720703,9.46737861633301,19.6579780578613
3/4/2023,113.52742767334,9.24263572692871,2.34792590141296
3/5/2023,55.2965240478516,9.15310573577881,2.20988655090332
3/6/2023,58.6963958740234,9.04994010925293,2.24585819244385
3/7/2023,71.4076843261719,7.64838218688965,2.18473291397095
3/8/2023,62.1981925964356,14.8009786605835,6.0556902885437
3/9/2023,39.4482002258301,8.85306072235107,26.3646907806397
3/10/2023,90.7993469238281,6.06227350234985,4.23337554931641
3/11/2023,179.948348999023,4.55285739898682,3.67095637321472
3/12/2023,38.938175201416,26.1269969940186,12.8476009368897
3/13/2023,16.7731056213379,40.9642753601074,2.1567165851593
3/14/2023,53.2769927978516,43.6930084228516,2.25884985923767
3/15/2023,127.963806152344,40.9469871520996,21.2107601165772
3/16/2023,185.09001159668,37.9636001586914,8.81524276733398
3/17/2023,26.3652076721191,33.9640769958496,2.2931399345398
3/18/2023,31.9906673431397,42.0553245544434,2.32406902313232
3/19/2023,101.465370178223,46.0751419067383,3.73494648933411
3/20/2023,196.158447265625,46.9736785888672,13.9844017028809
3/21/2023,105.622863769531,47.5608520507813,4.29430818557739
3/22/2023,121.436904907227,48.1143798828125,1.55101573467255
3/23/2023,33.4183464050293,48.3713264465332,5.69659852981567
3/24/2023,29.2908191680908,48.4693870544434,0.989792108535767
3/25/2023,18.0493125915527,48.3643760681152,0.180757373571396
3/26/2023,21.353967666626,48.922607421875,0.615648508071899
3/27/2023,27.1303176879883,38.1768188476563,2.54634761810303
3/28/2023,59.0162620544434,50.5693511962891,2.65967297554016
3/29/2023,25.6167411804199,48.0287857055664,1.03146111965179
3/30/2023,54.3872756958008,48.3547630310059,2.87223601341248
3/31/2023,26.8763580322266,48.0018997192383,3.845942735672
